word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
la;2;231160;9;4;2080440;462320
pataphysique;12;24;34;24;816;288
est;3;139273;11;6;1532003;417819
une;3;77779;10;6;777790;233337
science;7;557;21;14;11697;3899
parodique;9;6;25;18;150;54
elle;4;27267;14;8;381738;109068
designe;7;742;19;14;14098;5194
des;3;128016;8;6;1024128;384048
solutions;9;180;25;18;4500;1620
imaginaires;11;61;34;22;2074;671
l;1;157746;2;2;315492;157746
apostrophe;10;11;38;20;418;110
n;1;21546;6;2;129276;21546
pas;3;29643;8;6;237144;88929
utilisee;8;820;28;16;22960;6560
devant;6;1516;15;12;22740;9096
le;2;201192;4;4;804768;402384
mot;3;1952;14;6;27328;5856
lorsque;7;1780;18;14;32040;12460
terme;5;1084;18;10;19512;5420
utilise;7;1811;22;14;39842;12677
comme;5;22075;14;10;309050;110375
un;2;98321;7;4;688247;196642
adjectif;8;123;30;16;3690;984
fut;3;3909;13;6;50817;11727
cree;4;1640;18;8;29520;6560
par;3;55637;7;6;389459;166911
ecrivain;8;514;29;16;14906;4112
francais;8;5880;25;16;147000;47040
alfred;6;152;24;12;3648;912
jarry;5;8;24;10;192;40
qui;3;63007;9;6;567063;189021
avait;5;4938;16;10;79008;24690
defini;6;109;22;12;2398;654
accorde;7;219;22;14;4818;1533
symboliquement;14;34;38;28;1292;476
aux;3;16302;12;6;195624;48906
lineaments;10;1;37;20;37;10
les;3;172027;7;6;1204189;516081
proprietes;10;260;31;20;8060;2600
objets;6;1098;23;12;25254;6588
decrits;7;45;26;14;1170;315
leur;4;13586;9;8;122274;54344
virtualite;10;1;35;20;35;10
dans;4;62106;11;8;683166;248424
beaucoup;8;6674;24;16;160176;53392
d;1;106690;3;2;320070;106690
uvres;5;936;17;10;15912;4680
de;2;369294;5;4;1846470;738588
cet;3;4792;11;6;52712;14376
tres;4;16228;15;8;243420;64912
presente;8;1277;30;16;38310;10216
se;2;35559;7;4;248913;71118
developpa;9;36;28;18;1008;324
au;2;46340;9;4;417060;92680
e;1;4058;5;2;20290;4058
siecle;6;7152;27;12;193104;42912
college;7;1563;22;14;34386;10941
en;2;131424;8;4;1051392;262848
pour;4;59206;10;8;592060;236824
enseigner;9;79;26;18;2054;711
il;2;86530;10;4;865300;173060
actuellement;12;1035;32;24;33120;12420
situe;5;1475;17;10;25075;7375
a;1;142169;5;2;710845;142169
paris;5;4580;12;10;54960;22900
ecrivains;9;220;33;18;7260;1980
et;2;162818;9;4;1465362;325636
artistes;8;653;27;16;17631;5224
illustres;9;30;29;18;870;270
sont;4;40154;13;8;522002;160616
pataphysiciens;14;8;41;28;328;112
marcel;6;148;21;12;3108;888
duchamp;7;10;25;14;250;70
jacques;7;799;23;14;18377;5593
prevert;7;23;24;14;552;161
boris;5;96;20;10;1920;480
vian;4;6;21;8;126;24
raymond;7;109;27;14;2943;763
queneau;7;17;21;14;357;119
man;3;285;12;6;3420;855
ray;3;46;17;6;782;138
eugene;6;148;23;12;3404;888
ionesco;7;7;26;14;182;49
georges;7;362;23;14;8326;2534
perec;5;6;23;10;138;30
antonin;7;36;21;14;756;252
artaud;6;6;23;12;138;36
jean;4;2183;15;8;32745;8732
christophe;10;198;28;20;5544;1980
averty;6;1;23;12;23;6
fernando;8;39;28;16;1092;312
arrabal;7;2;33;14;66;14
mais;4;25550;13;8;332150;102200
aussi;5;15694;17;10;266798;78470
peintres;8;198;29;16;5742;1584
tels;4;810;17;8;13770;3240
que;3;45724;8;6;365792;137172
joan;4;21;18;8;378;84
mir;3;30;15;6;450;90
dubuffet;8;5;33;16;165;40
david;5;438;15;10;6570;2190
hockney;7;2;30;14;60;14
ou;2;31878;9;4;286902;63756
encore;6;5618;18;12;101124;33708
academiciens;12;6;43;24;258;72
pascal;6;128;15;12;1920;768
ory;3;5;17;6;85;15
ne;2;24536;9;4;220824;49072
revolutionnaires;16;296;49;32;14504;4736
ambitionnent;12;1;38;24;38;12
changer;7;650;19;14;12350;4550
monde;5;7979;16;10;127664;39895
mouvement;9;1548;28;18;43344;13932
dada;4;21;17;8;357;84
surrealiste;11;25;39;22;975;275
essence;7;138;21;14;2898;966
ailleurs;8;1828;24;16;43872;14624
dadaistes;9;3;35;18;105;27
surrealistes;12;16;42;24;672;192
s;1;28036;4;2;112144;28036
apprend;7;432;24;14;10368;3024
pratique;8;991;21;16;20811;7928
tous;4;7150;15;8;107250;28600
peut;4;13949;12;8;167388;55796
initier;7;22;24;14;528;154
aisement;8;45;23;16;1035;360
cela;4;5619;15;8;84285;22476
suffit;6;403;21;12;8463;2418
efforcer;8;3;26;16;78;24
penser;6;348;19;12;6612;2088
choses;6;1106;19;12;21014;6636
auxquelles;10;101;29;20;2929;1010
vous;4;4254;17;8;72318;17016
pensez;6;104;20;12;2080;624
autres;6;10414;18;12;187452;62484
pensent;7;495;22;14;10890;3465
faire;5;9379;15;10;140685;46895
necessite;9;167;32;18;5344;1503
toutefois;9;825;26;18;21450;7425
appliquer;9;233;29;18;6757;2097
principe;8;621;21;16;13041;4968
important;9;1822;28;18;51016;16398
equivalence;11;18;39;22;702;198
toutes;6;3380;20;12;67600;20280
ainsi;5;6582;18;10;118476;32910
pataphysicien;13;2;38;26;76;26
ce;2;29011;8;4;232088;58022
serieux;7;158;25;14;3950;1106
strictement;11;75;32;22;2400;825
equivalent;10;290;36;20;10440;2900
rond;4;116;18;8;2088;464
parfaitement;12;218;31;24;6758;2616
carre;5;236;18;10;4248;1180
vrai;4;895;17;8;15215;3580
indemontrable;13;2;47;26;94;26
kurt;4;22;18;8;396;88
godel;5;8;25;10;200;40
patafix;7;1;33;14;33;7
moteur;6;530;21;12;11130;3180
recherche;9;1023;26;18;26598;9207
patakosmos;10;1;46;20;46;10
reference;9;380;34;18;12920;3420
univers;7;765;19;14;14535;5355
ecrit;5;1706;20;10;34120;8530
lettres;7;569;19;14;10811;3983
zero;4;213;17;8;3621;852
chiffre;7;242;20;14;4840;1694
nombre;6;3534;21;12;74214;21204
naturel;7;536;24;14;12864;3752
cardinal;8;210;28;16;5880;1680
signifie;8;1151;24;16;27624;9208
qu;2;25763;6;4;154578;51526
combien;7;165;20;14;3300;1155
y;1;16352;8;2;130816;16352
a;1;54964;5;2;274820;54964
correspondant;13;156;36;26;5616;2028
ensemble;8;2216;23;16;50968;17728
vide;4;371;17;8;6307;1484
absence;7;382;23;14;8786;2674
exemple;7;5715;23;14;131445;40005
quand;5;4420;15;10;66300;22100
reste;5;2673;17;10;45441;13365
piece;5;678;19;10;12882;3390
porte;5;1589;13;10;20657;7945
monnaie;7;468;24;14;11232;3276
c;1;34853;5;2;174265;34853
plus;4;41215;11;8;453365;164860
pieces;6;835;22;12;18370;5010
langage;7;531;20;14;10620;3717
jours;5;3343;16;10;53488;16715
correspond;10;574;27;20;15498;5740
aucun;5;1060;17;10;18020;5300
eleve;5;610;20;10;12200;3050
absent;6;76;22;12;1672;456
vient;5;1702;17;10;28934;8510
du;2;81566;7;4;570962;163132
latin;5;1185;14;10;16590;5925
zephirus;8;1;32;16;32;8
lui;3;10160;10;6;101600;30480
meme;4;12315;15;8;184725;49260
venant;6;295;21;12;6195;1770
arabe;5;613;20;10;12260;3065
sifr;4;1;20;8;20;4
donne;5;1702;14;10;23828;8510
indien;6;264;23;12;6072;1584
cunya;5;1;22;10;22;5
indiens;7;240;27;14;6480;1680
peuple;6;1237;18;12;22266;7422
decouvert;9;676;27;18;18252;6084
bien;4;8969;16;8;143504;35876
premier;7;5399;17;14;91783;37793
provient;8;284;22;16;6248;2272
babyloniens;11;51;47;22;2397;561
avant;5;5756;17;10;97852;28780
jesus;5;882;20;10;17640;4410
christ;6;392;18;12;7056;2352
quelle;6;523;16;12;8368;3138
soit;4;4037;14;8;56518;16148
valeur;6;775;20;12;15500;4650
prend;5;1669;14;10;23366;8345
cette;5;15351;15;10;230265;76755
propriete;9;377;27;18;10179;3393
explique;8;695;22;16;15290;5560
pourquoi;8;2711;21;16;56931;21688
impossible;10;393;31;20;12183;3930
diviser;7;89;23;14;2047;623
voir;4;2805;16;8;44880;11220
division;8;492;23;16;11316;3936
alphabets;9;32;32;18;1024;288
notamment;9;3369;27;18;90963;30321
asie;4;1186;17;8;20162;4744
on;2;30509;8;4;244072;61018
utilise;7;1240;22;14;27280;8680
symboles;8;209;25;16;5225;1672
mathematiques;13;575;48;26;27600;7475
ecrire;6;941;24;12;22584;5646
voici;5;800;21;10;16800;4000
quelques;8;4005;19;16;76095;32040
exemples;8;345;27;16;9315;2760
i;1;870;6;2;5220;870
chiffres;8;346;23;16;7958;2768
romains;7;1322;29;14;38338;9254
entier;6;726;19;12;13794;4356
non;3;3971;14;6;55594;11913
nul;3;306;17;6;5202;918
suit;4;431;14;8;6034;1724
precede;7;68;27;14;1836;476
represente;10;916;40;20;36640;9160
unite;5;504;16;10;8064;2520
alphabet;8;380;27;16;10260;3040
aeronautique;12;63;47;24;2961;756
seul;4;2202;14;8;30828;8808
dit;3;2699;9;6;24291;8097
differemment;12;110;43;24;4730;1320
vie;3;5033;13;6;65429;15099
courante;8;225;25;16;5625;1800
racine;6;247;24;12;5928;1482
latine;6;176;17;12;2992;1056
uni;3;1162;10;6;11620;3486
unification;11;159;31;22;4929;1749
grecque;7;684;22;14;15048;4788
correspondante;14;33;39;28;1287;462
mono;4;9;17;8;153;36
monologue;9;5;30;18;150;45
discours;8;365;20;16;7300;2920
prononce;8;144;22;16;3168;1152
acteur;6;381;19;12;7239;2286
theatre;7;1429;30;14;42870;10003
entite;6;35;20;12;700;210
individuelle;12;72;33;24;2376;864
camion;6;64;21;12;1344;384
plusieurs;9;6946;22;18;152812;62514
article;7;2515;21;14;52815;17605
indefini;8;25;35;16;875;200
dont;4;6896;11;8;75856;27584
feminin;7;224;27;14;6048;1568
cas;3;3800;13;6;49400;11400
langues;7;1020;19;14;19380;7140
anglais;7;2305;21;14;48405;16135
attention;9;668;26;18;17368;6012
ordinal;7;1;25;14;25;7
premiere;8;4885;20;16;97700;39080
unier;5;1;19;10;19;5
uniere;6;1;24;12;24;6
abreviations;12;10;45;24;450;120
er;2;1267;9;4;11403;2534
re;2;160;9;4;1440;320
ier;3;2068;13;6;26884;6204
iere;4;9;18;8;162;36
ere;3;424;15;6;6360;1272
humanite;8;237;28;16;6636;1896
du;2;708;7;4;4956;1416
quitter;7;372;19;14;7068;2604
son;3;30237;10;6;302370;90711
foyer;5;179;18;10;3222;895
fuir;4;207;17;8;3519;828
violence;8;369;26;16;9594;2952
selon;5;3821;16;10;61136;19105
rapport;7;1239;22;14;27258;8673
onu;3;313;14;6;4382;939
publie;6;490;17;12;8330;2940
jeudi;5;213;17;10;3621;1065
millions;8;2717;22;16;59774;21736
personnes;9;4306;22;18;94732;38754
vivent;6;1294;22;12;28468;7764
aujourd;7;3487;23;14;80201;24409
hui;3;3495;14;6;48930;10485
loin;4;981;13;8;12753;3924
chez;4;2602;14;8;36428;10408
elles;5;5315;17;10;90355;26575
ont;3;17423;11;6;191653;52269
explications;12;285;32;24;9120;3420
jamais;6;1789;20;12;35780;10734
ete;3;17041;14;6;238574;51123
eleves;6;185;25;12;4625;1110
filippo;7;22;20;14;440;154
grandi;6;95;20;12;1900;570
chef;4;1984;13;8;25792;7936
haut;4;1865;16;8;29840;7460
commissariat;12;11;32;24;352;132
refugies;8;227;28;16;6356;1816
montre;6;729;19;12;13851;4374
eu;2;2492;9;4;22428;4984
conflits;8;293;23;16;6739;2344
annee;5;3983;20;10;79660;19915
passee;6;183;19;12;3477;1098
poursuit;8;249;21;16;5229;1992
titre;5;1663;18;10;29934;8315
comparaison;11;115;29;22;3335;1265
ans;3;10179;10;6;101790;30537
etait;5;11616;19;10;220704;58080
deux;4;13274;11;8;146014;53096
fois;4;5568;14;8;77952;22272
moins;5;4855;17;10;82535;24275
eleve;5;475;20;10;9500;2375
ces;3;10300;11;6;113300;30900
maison;6;1420;18;12;25560;8520
cause;5;1889;18;10;34002;9445
guerres;7;654;23;14;15042;4578
persecution;11;26;35;22;910;286
problemes;9;851;26;18;22126;7659
lies;4;254;12;8;3048;1016
droits;6;1207;18;12;21726;7242
homme;5;3232;17;10;54944;16160
donc;4;8648;12;8;103776;34592
fait;4;14532;12;8;174384;58128
plaisir;7;298;22;14;6556;2086
sur;3;34442;11;6;378862;103326
moitie;6;867;21;12;18207;5202
fui;3;57;14;6;798;171
regions;7;1815;26;14;47190;12705
pays;4;10308;10;8;103080;41232
etranger;8;328;25;16;8200;2624
demande;7;351;18;14;6318;2457
asile;5;67;19;10;1273;335
quittent;8;171;22;16;3762;1368
viennent;8;563;25;16;14075;4504
principalement;14;1325;33;28;43725;18550
syrie;5;355;16;10;5680;1775
moyen;5;2080;19;10;39520;10400
orient;6;568;20;12;11360;3408
venezuela;9;76;29;18;2204;684
amerique;8;1666;30;16;49980;13328
sud;3;5944;14;6;83216;17832
afghanistan;11;193;37;22;7141;2123
soudan;6;89;20;12;1780;534
afrique;7;2003;23;14;46069;14021
birmanie;8;111;31;16;3441;888
parmi;5;1784;14;10;24976;8920
compte;6;2868;17;12;48756;17208
enormement;10;259;37;20;9583;2590
enfants;7;3894;22;14;85668;27258
aider;5;957;18;10;17226;4785
majorite;8;1047;24;16;25128;8376
refugier;8;110;27;16;2970;880
europe;6;3982;18;12;71676;23892
